,URL,ID,likes,dislikes,ratio
399,https://www.youtube.com/watch?v=j64oZLF443g,j64oZLF443g,559528,2881,194.213
400,https://www.youtube.com/watch?v=kTJczUoc26U,kTJczUoc26U,8802247,161132,54.628
401,https://www.youtube.com/watch?v=-tJYN-eG1zk,-tJYN-eG1zk,5014176,136806,36.652
402,https://www.youtube.com/watch?v=Gl6ekgobG2k,Gl6ekgobG2k,444179,59340,7.485
403,https://www.youtube.com/watch?v=d1oHZuF1k2I,d1oHZuF1k2I,94625,5346,17.7
405,https://www.youtube.com/watch?v=ED3xFj-jDI8,ED3xFj-jDI8,940584,134721,6.982
406,https://www.youtube.com/watch?v=oKmJgeo7OLU,oKmJgeo7OLU,60808,1821,33.393
409,https://www.youtube.com/watch?v=IJ-Bjm3I8B8,IJ-Bjm3I8B8,83833,1963,42.707
410,https://www.youtube.com/watch?v=JSoGsO6n-qU,JSoGsO6n-qU,69266,1244,55.68
413,https://www.youtube.com/watch?v=ffxKSjUwKdU,ffxKSjUwKdU,7993773,338661,23.604
415,https://www.youtube.com/watch?v=LeiFF0gvqcc,LeiFF0gvqcc,2793728,123544,22.613
417,https://www.youtube.com/watch?v=fpt5e0XHvwE,fpt5e0XHvwE,25528,435,58.685
421,https://www.youtube.com/watch?v=luQ0JWcrsWg,luQ0JWcrsWg,1217265,74664,16.303
422,https://www.youtube.com/watch?v=-Hqp5Mwq3Zs,-Hqp5Mwq3Zs,31247,1265,24.701
423,https://www.youtube.com/watch?v=JIz0-6_mPIE,JIz0-6_mPIE,182089,2599,70.061
425,https://www.youtube.com/watch?v=c89M7PO0zY8,c89M7PO0zY8,39248,191,205.487
426,https://www.youtube.com/watch?v=IdneKLhsWOQ,IdneKLhsWOQ,4892927,207315,23.601
427,https://www.youtube.com/watch?v=5GJWxDKyk3A,5GJWxDKyk3A,4743158,76025,62.389
429,https://www.youtube.com/watch?v=UTHLKHL_whs,UTHLKHL_whs,8005853,771361,10.379
431,https://www.youtube.com/watch?v=HDEC9cwdxGg,HDEC9cwdxGg,132848,1611,82.463
433,https://www.youtube.com/watch?v=XekMkIJ843w,XekMkIJ843w,184467,4283,43.07
434,https://www.youtube.com/watch?v=K7wmk7U4BhQ,K7wmk7U4BhQ,224044,3842,58.314
435,https://www.youtube.com/watch?v=QD9HVyF3EEI,QD9HVyF3EEI,108244,1590,68.078
